Index,Combination,Time Taken,,,,Size (NxN),,Dhyey Thummar
,,1st ,2nd ,3rd,Median,,,20110059
1,i j k,0.00590912,0.00588675,0.00594757,0.00590912,128,,
2,i k j,0.0051168,0.00515958,0.00514439,0.00514439,,,
3,j k i,0.0064501,0.00637315,0.00636918,0.00637315,,,
4,j i k,0.00591174,0.00592636,0.00611905,0.00592636,,,
5,k i j,0.00511,0.00525981,0.00510835,0.00511,,,
6,k j i,0.00648356,0.00637285,0.00631073,0.00637285,,,
,,,,,,,,
1,i j k,0.04791,0.0492801,0.0497927,0.0492801,256,,
2,i k j,0.0423655,0.0523087,0.0413088,0.0423655,,,
3,j k i,0.0530238,0.054835,0.052309,0.0530238,,,
4,j i k,0.0488036,0.0471435,0.0482215,0.0482215,,,
5,k i j,0.0482215,0.0417067,0.0419762,0.0419762,,,
6,k j i,0.0530924,0.0517498,0.0528663,0.0528663,,,
,,,,,,,,
1,i j k,0.543608,0.548089,0.543404,0.543608,512,,
2,i k j,0.328438,0.332671,0.331519,0.331519,,,
3,j k i,0.582045,0.586072,0.58329,0.58329,,,
4,j i k,0.544591,0.548169,0.541891,0.544591,,,
5,k i j,0.34033,0.341955,0.332803,0.34033,,,
6,k j i,0.58568,0.585757,0.583586,0.58568,,,
